tournament_name,year,venue_name,venue_address,venue_city,venue_country,court_surface,num_courts,indoor_outdoor
,2026,,,Florida - Italy,Florida - Italy,,,
,2026,,,SÃo joÃo da madeira - Portugal,SÃo joÃo da madeira - Portugal,,,
,2026,,,Bucharest - Romania,Bucharest - Romania,,,
,2026,,,Como - Italy,Como - Italy,,,
,2026,,,Phuket - Thailand,Phuket - Thailand,,,
,2026,,,Guimaraes - Portugal,Guimaraes - Portugal,,,
,2026,,,Budapest - Hungary,Budapest - Hungary,,,
,2026,,,Tbc - Kenya,Tbc - Kenya,,,
,2026,,,Tbc - Spain,Tbc - Spain,,,
,2026,,,Paredes - Portugal,Paredes - Portugal,,,
,2026,,,Tbc - Finland,Tbc - Finland,,,
,2026,,,Perugia - Italy,Perugia - Italy,,,
,2026,,,Viña del Mar - Chile,Viña del Mar - Chile,,,
,2026,,,Amsterdam - Netherlands,Amsterdam - Netherlands,,,
,2026,,,Dubai - United Arab Emirates,Dubai - United Arab Emirates,,,
,2026,,,SÂo joÂo da madeira - Portugal,SÂo joÂo da madeira - Portugal,,,
,2026,,,Izmir - Türkiye,Izmir - Türkiye,,,
,2026,,,Bangkok - Thailand,Bangkok - Thailand,,,
,2026,,,Pembroke - Malta,Pembroke - Malta,,,
,2026,,,Alcala de guadaira - Spain,Alcala de guadaira - Spain,,,
,2026,,,Lyon - France,Lyon - France,,,
,2026,,,Ericeira - Portugal,Ericeira - Portugal,,,
,2026,,,Caldas - Portugal,Caldas - Portugal,,,
,2026,,,Torino - Italy,Torino - Italy,,,
,2026,,,Rotterdam - Netherlands,Rotterdam - Netherlands,,,
,2026,,,Jönköping - Sweden,Jönköping - Sweden,,,
,2026,,,Messina - Italy,Messina - Italy,,,
,2026,,,Hong kong - Hong Kong,Hong kong - Hong Kong,,,
,2026,,,Tbc - Germany,Tbc - Germany,,,
,2026,,,Taastrup - Denmark,Taastrup - Denmark,,,
,2026,,,Porec parenzo - Croatia,Porec parenzo - Croatia,,,
,2026,,,Rovigo - Italy,Rovigo - Italy,,,
,2026,,,Veracruz - Mexico,Veracruz - Mexico,,,
,2026,,,Veracruz - Mexico,Veracruz - Mexico,,,
,2026,,,London - Great Britain,London - Great Britain,,,
,2026,,,Taastrup - Denmark,Taastrup - Denmark,,,
,2026,,,Dubai - United Arab Emirates,Dubai - United Arab Emirates,,,
,2026,,,TBD - Spain,TBD - Spain,,,
,2026,,,Alkmaar - Netherlands,Alkmaar - Netherlands,,,
,2026,,,Oeiras - Portugal,Oeiras - Portugal,,,
,2026,,,Miami - United States,Miami - United States,,,
,2026,,,Milano - Italy,Milano - Italy,,,
,2026,,,Hong kong - Hong Kong,Hong kong - Hong Kong,,,
,2026,,,Oslo - Norway,Oslo - Norway,,,
,2026,,,Samui - Thailand,Samui - Thailand,,,
,2026,,,Lagos - Nigeria,Lagos - Nigeria,,,
,2026,,,Aprilia - Italy,Aprilia - Italy,,,
,2026,,,Doha - Qatar,Doha - Qatar,,,
,2026,,,Almaty - Kazakhstan,Almaty - Kazakhstan,,,
,2026,,,Tbc - Chile,Tbc - Chile,,,
,2026,,,Reunion st. denis - France,Reunion st. denis - France,,,
,2026,,,Antalya - Türkiye,Antalya - Türkiye,,,
,2026,,,London - United Kingdom,London - United Kingdom,,,
,2026,,,Metepec - Mexico,Metepec - Mexico,,,
,2026,,,Melilla - Spain,Melilla - Spain,,,
,2026,,,Venray - Netherlands,Venray - Netherlands,,,
,2026,,,Frascati - Italy,Frascati - Italy,,,
,2026,,,Santarem - Portugal,Santarem - Portugal,,,
,2026,,,Arrecife - Spain,Arrecife - Spain,,,
,2026,,,Tbc - Spain,Tbc - Spain,,,
,2026,,,Reunion st. paul - France,Reunion st. paul - France,,,
,2026,,,Tbc - Cyprus,Tbc - Cyprus,,,
,2026,,,New dehli - India,New dehli - India,,,
,2026,,,Perugia - Italy,Perugia - Italy,,,
,2026,,,Dubai - United Arab Emirates,Dubai - United Arab Emirates,,,
,2026,,,Kuwait - Kuwait,Kuwait - Kuwait,,,
,2026,,,Heraklion - Greece,Heraklion - Greece,,,
,2026,,,Tbc - Cyprus,Tbc - Cyprus,,,
,2026,,,Tbc - Finland,Tbc - Finland,,,
,2026,,,Aguascalientes - Mexico,Aguascalientes - Mexico,,,
,2026,,,Tbc - Spain,Tbc - Spain,,,
,2026,,,Saint Martin - CARIBBEAN,Saint Martin - CARIBBEAN,,,
,2026,,,Dubai - United Arab Emirates,Dubai - United Arab Emirates,,,
,2026,: Pala Padel NolaNumber of Match Courts: 4Number of,"Via Croce del Papa 12/14 , Nola , 80035 Post navigationPreviousPrevious EventFIP SILVER SAINT MARTIN ISLANDNextNext EventFIP BRONZE COMUNIDAD VALENCIANA VIII Official Automotive Partner",Post navigationPreviousPrevious EventFIP SILVER SAINT MARTIN ISLANDNextNext EventFIP BRONZE COMUNIDAD VALENCIANA VIII Official Automotive Partner,Nola - Italy,,,
,2026,,,Tbc - Cyprus,Tbc - Cyprus,,,
,2026,,,Oporto - Portugal,Oporto - Portugal,,,
,2026,,,Mumbai - India,Mumbai - India,,,
,2026,,,Doha - Qatar,Doha - Qatar,,,
,2026,,,Napoli - Italy,Napoli - Italy,,,
,2026,,,Skurup - Sweden,Skurup - Sweden,,,
,2026,,,Waver - Belgium,Waver - Belgium,,,
,2026,,,Karachi - Pakistan,Karachi - Pakistan,,,
,2026,,,Hua hin - Thailand,Hua hin - Thailand,,,
,2026,,,Acra - Ghana,Acra - Ghana,,,
,2026,,,Tbc - Mexico,Tbc - Mexico,,,
,2026,,,Perugia - Italy,Perugia - Italy,,,
,2026,,,Roeselare - Belgium,Roeselare - Belgium,,,
,2026,,,Roeselare - Belgium,Roeselare - Belgium,,,
,2026,,,San severo - Italy,San severo - Italy,,,
,2026,,,Esbjerg - Denmark,Esbjerg - Denmark,,,
,2026,,,Tbd - Spain,Tbd - Spain,,,
,2026,,,Tbc - Egypt,Tbc - Egypt,,,
,2026,,,Phuket - Thailand,Phuket - Thailand,,,
,2026,,,Acapulco - Mexico,Acapulco - Mexico,,,
,2026,,,Tbc - Chile,Tbc - Chile,,,
,2026,Padel Magic,"Padel Magic at Central Tennis Club, Cocody, Abidjan, Côte d’Ivoire Post navigationPreviousPrevious EventFIP BEYOND MIAMI Official Automotive Partner",Abidjan - Ivory Coast,Abidjan - Ivory Coast,,,
,2026,,,Rende - Italy,Rende - Italy,,,
,2026,,,El prat de llobregat - Spain,El prat de llobregat - Spain,,,
,2026,,,Barcelona - Spain,Barcelona - Spain,,,
,2025,,,Sydney - Australia,Sydney - Australia,,,
,2025,,,Mondeville - France,Mondeville - France,,,
,2025,,,Melbourne - Australia,Melbourne - Australia,,,
,2025,,,Valencia - Spain,Valencia - Spain,,,
,2025,,,Doha - Qatar,Doha - Qatar,,,
,2025,,,Finestrat - Spain,Finestrat - Spain,,,
,2025,,,San Antonio - Chile,San Antonio - Chile,,,Outdoor
,2025,,,Doha - Qatar,Doha - Qatar,,,
,2025,,,Riyadh - Saudi Arabia,Riyadh - Saudi Arabia,,,
,2025,,,RIO GRANDE - Brazil,RIO GRANDE - Brazil,,,
,2025,,,Rio Grande - Brazil,Rio Grande - Brazil,,,
,2025,,,Rio Grande - Brazil,Rio Grande - Brazil,,,
,2025,,,Ahlen - Germany,Ahlen - Germany,,,
,2025,,,Paredes - Portugal,Paredes - Portugal,,,
,2025,,,Beheira / Egypt,Beheira / Egypt,,,
,2025,,,Gothenburg - Sweden,Gothenburg - Sweden,,,
,2025,,,Valencia - Spain,Valencia - Spain,,,
,2025,,,Beheira / Egypt,Beheira / Egypt,,,
,2025,,,Curitiba - Brazil,Curitiba - Brazil,,,
,2025,,,Gijón - Spain,Gijón - Spain,,,
,2025,,,Dubai - United Arab Emirates,Dubai - United Arab Emirates,,,
,2025,,,Beheira - Egypt,Beheira - Egypt,,,
,2025,,,Beheira - Egypt,Beheira - Egypt,,,
,2025,,,Perugia - Italy,Perugia - Italy,,,
,2025,,,Asuncion - Paraguay,Asuncion - Paraguay,,,
,2025,,": PRIVADA KOPAL 9 GUADALUPE VICTORIA, EMILIANO ZAPATA C AT07 CP. 72824 SN ANDRES CHOLULA PUEBLA, MÉXICO.Number of Match Courts: 4Number of",SN ANDRES CHOLULA PUEBLA,Puebla - Mexico,,,
,2025,,": Pelmolen 7, 3994 xx HoutenWebsite: www.sportclubhouten.nlNumber of match courts: 4Number of",Houten - Netherlands,Houten - Netherlands,,,
,2025,,,Azores - Portugal,Azores - Portugal,,,
,2025,,,Joinville-Brazil,Joinville-Brazil,,,
,2025,,,Cancun - Mexico,Cancun - Mexico,,,
,2025,,,Hong kong - Hong Kong,Hong kong - Hong Kong,,,
,2025,,,Dubai - UAE,Dubai - UAE,,,
,2025,,,Kaunas - Lithuania,Kaunas - Lithuania,,,
,2025,,,Middelkerke - Belgium,Middelkerke - Belgium,,,
,2025,,,Setubal-Portugal,Setubal-Portugal,,,
,2025,,,Miami - USA,Miami - USA,,,
,2025,,,Camboriu - Brazil,Camboriu - Brazil,,,
,2025,,,Manila - Philippines,Manila - Philippines,,,
,2025,,,Siracusa - Italy,Siracusa - Italy,,,
,2025,,,Santiago - Chile,Santiago - Chile,,,
,2025,,,GUAYAQUIL -Ecuador,GUAYAQUIL -Ecuador,,,
,2025,,,Manila - Philippines,Manila - Philippines,,,
,2025,,,Elvas - Portugal,Elvas - Portugal,,,
,2025,,,Caltanissetta - Italy,Caltanissetta - Italy,,,
,2025,General info:,,Curitiba - Brazil,Curitiba - Brazil,,,
,2025,,,Curitiba - Brazil,Curitiba - Brazil,,,
,2025,,,Curitiba - Brazil,Curitiba - Brazil,,,
,2025,,,GUAYAQUIL -Ecuador,GUAYAQUIL -Ecuador,,,
,2025,,,Espoo - Finland,Espoo - Finland,,,
,2025,General info:NAME OF THE CLUB / VENUE:Clube CESLA,,Santa Maria - Brazil,Santa Maria - Brazil,,,
,2025,General info:NAME OF THE CLUB / VENUE:Clube CESLA,,Santa Maria - Brazil,Santa Maria - Brazil,,,
,2025,,,Metepec - Mexico,Metepec - Mexico,,,
,2025,,,Dubai - United Arab Emirates,Dubai - United Arab Emirates,,,
,2025,: VILLA PAMPHILI PADEL CLUB,,Roma - Italy,Roma - Italy,,,
,2025,,,Manama - Bahrain,Manama - Bahrain,,,
,2025,,,Bristol - Great Britain,Bristol - Great Britain,,,
,2025,,,Setubal - Portugal,Setubal - Portugal,,,
,2025,,,Zlatibor - Serbia,Zlatibor - Serbia,,,
,2025,,,Espoo-Finland,Espoo-Finland,,,
,2025,,,Bristol - Great Britain,Bristol - Great Britain,,,
,2025,,,Santa Maria - Brazil,Santa Maria - Brazil,,,
,2025,,,Doha - Qatar,Doha - Qatar,,,
,2025,,,Gothenburg - Sweden,Gothenburg - Sweden,,,
,2025,,,Kuala Lumpur - Malaysia,Kuala Lumpur - Malaysia,,,
,2025,,,Ayia Napa - Protaras - Cyprus,Ayia Napa - Protaras - Cyprus,,,
,2025,,,Nola - Italy,Nola - Italy,,,
,2025,,,Johannesburg - South Africa,Johannesburg - South Africa,,,
,2025,,,Chicago - USA,Chicago - USA,,,
,2025,,,Brussels - Belgium,Brussels - Belgium,,,
,2025,,,Leiria - Portugal,Leiria - Portugal,,2.0,
,2025,,,Hong kong - Hong Kong,Hong kong - Hong Kong,,,
,2025,,,Ayia Napa - Cyprus,Ayia Napa - Cyprus,,,
,2025,,,Cairo - Egypt,Cairo - Egypt,,,
,2025,,,Curitiba - Brazil,Curitiba - Brazil,,,
,2025,,,Concepcion - Chile,Concepcion - Chile,,,
,2025,,,Cairo - Egypt,Cairo - Egypt,,,
,2025,,,Alicante - Spain,Alicante - Spain,,,
,2025,: 15 minutos en cocheContact Details: LUIS SICILIA – +34,": Calle La Calzada nº 100, Código Postal 35017URL Website: https://canariaspadel.es/fip-canarias/Number of Match Courts: 6 Pistas + 1 Central CourtNumber of",Las Palmas de Gran Canaria - Spain,Las Palmas de Gran Canaria - Spain,,,
,2025,,,Cologne - Germany,Cologne - Germany,,,
,2025,,,Vilareal de Santo Antonio - Portugal,Vilareal de Santo Antonio - Portugal,,,
,2025,,,Antalya - Turkey,Antalya - Turkey,,,
,2025,,,Almaty - Kazakhstan,Almaty - Kazakhstan,,,
,2025,,,Mendoza - Argentina,Mendoza - Argentina,,,
,2025,,,Agrigento - Italy,Agrigento - Italy,,,
,2025,,,Palermo - Italy,Palermo - Italy,,,
,2025,,,Quito - Ecuador,Quito - Ecuador,,,
,2025,,,Gent - Belgium,Gent - Belgium,,,
,2025,,,Abu Dhabi - UAE,Abu Dhabi - UAE,,,
,2025,,,ALCALÁ DE GUADAIRA (SPAIN),ALCALÁ DE GUADAIRA (SPAIN),,,
,2025,,,Abidjan - Ivory Coast,Abidjan - Ivory Coast,,,
,2025,,,Novara - Italy,Novara - Italy,,,
,2025,,,"Ayia Napa, Protaras - Cyprus","Ayia Napa, Protaras - Cyprus",,,
,2025,,,Viña del Mar - Chile,Viña del Mar - Chile,,,Outdoor
,2025,,,Dezhou - China,Dezhou - China,,,
,2025,,,Manila - Philippines,Manila - Philippines,,,
,2025,,,Mafra-Portugal,Mafra-Portugal,,,
,2025,,,Asuncion - Paraguay,Asuncion - Paraguay,,,
,2025,,,"Viseu, Tondela y Castro Daire - Portugal","Viseu, Tondela y Castro Daire - Portugal",,,
,2025,,,Whetstone - United Kingdom,Whetstone - United Kingdom,,,
,2025,,,Hamburg - Germany,Hamburg - Germany,,,
,2025,,,Alexandria - Egypt,Alexandria - Egypt,,,
,2025,,,Manila - Philippines,Manila - Philippines,,,
,2025,,,Antofagasta-Chile,Antofagasta-Chile,,,
,2025,,,Almaty - Kazakhstan,Almaty - Kazakhstan,,,
,2025,,,Buenos aires - Argentina,Buenos aires - Argentina,,,
,2025,,,Castellon - Spain,Castellon - Spain,,,
,2025,,,Timisoara - Romania,Timisoara - Romania,,,
,2025,,,Perugia - Italy,Perugia - Italy,,,
,2025,,,Cap Cana - Dominican Republic,Cap Cana - Dominican Republic,,,
,2025,,,Jakarta - Indonesia,Jakarta - Indonesia,,,
,2025,,,Bandol - France,Bandol - France,,,
,2025,,,North Enge Sande-Germany,North Enge Sande-Germany,,,
,2025,,,Foz Do Iguaçu - Brazil,Foz Do Iguaçu - Brazil,,,
,2025,,,Rome - Italy,Rome - Italy,,,
,2025,,,Camboriu - Brazil,Camboriu - Brazil,,,
,2025,,,Cordenons - Italy,Cordenons - Italy,,,
,2025,,,Bali - Indonesia,Bali - Indonesia,,,
,2025,,,HERAKLION - Grecee,HERAKLION - Grecee,,,
,2025,,,Camboriu - Brazil,Camboriu - Brazil,,,
,2025,,,Rome - Italy,Rome - Italy,,,
,2025,,,Camboriu - Brazil,Camboriu - Brazil,,,
,2025,,,Badajoz - Spain,Badajoz - Spain,,,
,2025,,,Guayaquil - Ecuador,Guayaquil - Ecuador,,,
,2025,,,Antofagasta - Chile,Antofagasta - Chile,,,
,2025,,,Phuket - Thailand,Phuket - Thailand,,,
,2025,: Padelpoint La Nucía Number of Match Courts: 7Number of,": Avenida del alcalde Eduardo Zaplana, 7, 03502 Benidorm, AlicanteURL Website: https://www.padelpointvillaitana.com/#1Support Club / Venue: Padelpoint La Nucía Number of Match Courts: 7Number of",Benidorm,Benidorm - Spain,,,
,2025,,,Grugliasco (Torino) - Italy,Grugliasco (Torino) - Italy,,,
,2025,,,Drammen - Norway,Drammen - Norway,,,
,2025,,,Alexandria-Egypt,Alexandria-Egypt,,,
,2025,,,Alexandria - Egypt,Alexandria - Egypt,,,
,2025,,,Concepcion - Chile,Concepcion - Chile,,,
,2025,,,Valladolid - Spain,Valladolid - Spain,,,
,2025,,,Palermo - Italy,Palermo - Italy,,,
,2025,,,Oeiras - Portugal,Oeiras - Portugal,,,
,2025,,,Utrecht - Netherlands,Utrecht - Netherlands,,,
,2025,,,Rome - Italy,Rome - Italy,,,
,2025,,,Lisbona - Portugal,Lisbona - Portugal,,,
,2025,,,HOUTEN – NETHERLANDS,HOUTEN – NETHERLANDS,,,
,2025,,,Curitiba - Brazil,Curitiba - Brazil,,,
,2025,,,Bordeaux - France,Bordeaux - France,,,
,2025,,,"Tbilisi, Georgia","Tbilisi, Georgia",,,
,2025,,,Chengdu - China,Chengdu - China,,,
,2025,,,Valladolid - Spain,Valladolid - Spain,,,
,2025,,,Treviso - Italy,Treviso - Italy,,,
,2025,,,Koksijde - Belgium,Koksijde - Belgium,,,
,2025,: SET PADEL,,Narbona - France,Narbona - France,,,
,2025,,,Madrid - Spain,Madrid - Spain,,,
,2025,,,Koksijde - Belgium,Koksijde - Belgium,,,
,2025,,,Tokyo - Japan,Tokyo - Japan,,,
,2025,,,Giulianova - Italy,Giulianova - Italy,,,
,2025,,,Alicante -Spain,Alicante -Spain,,,
,2025,,,Centurion-South Africa,Centurion-South Africa,,,
,2025,,,Viña del Mar - Chile,Viña del Mar - Chile,,,Outdoor
,2025,,,Malaga - Spain,Malaga - Spain,,,
,2025,,,Elche - Spain,Elche - Spain,,,
,2025,,,Sandigliano (Biella) - Italy,Sandigliano (Biella) - Italy,,,
,2025,,,Aveiro - Portugal,Aveiro - Portugal,,,
,2025,,,Veracruz - Mexico,Veracruz - Mexico,,,
,2025,Role,,Vina del Mar- Chile,Vina del Mar- Chile,,,
,2025,,,Oeiras - Portugal,Oeiras - Portugal,,,
,2025,Role,+351 916 653 796,Oporto - Portugal,Oporto - Portugal,,,
,2025,Name,,Burgos - Spain,Burgos - Spain,,,
,2025,,,Lelystad - Netherlands,Lelystad - Netherlands,,,
,2025,,,Alexandria - Egypt,Alexandria - Egypt,,,
,2025,,,CRETE - Greece,CRETE - Greece,,,
,2025,,,Wallau - Germany,Wallau - Germany,,,
,2025,,,Tarragona - Spain,Tarragona - Spain,,,
,2025,,,Porto alegre - Brazil,Porto alegre - Brazil,,,
,2025,,,Barcelona - Spain,Barcelona - Spain,,,
,2025,,,CRETE - Greece,CRETE - Greece,,,
,2025,,,Porto Alegre - Brazil,Porto Alegre - Brazil,,,
,2025,,,Tenerife - Spain,Tenerife - Spain,,,
,2025,,,Portimao - Portugal,Portimao - Portugal,,,
,2025,: 20kmNearest Train Station Name: Terminal Terrestre PotosinaDistance to the venue: 10kmName: CITY EXPRESS PLUS BY MARRIOTT SAN LUISNumber of Stars: 5,,Potosí - Mexico,Potosí - Mexico,,,
,2025,,,Portimao - Portugal,Portimao - Portugal,,,
,2025,,,Jersey island - Great Britain,Jersey island - Great Britain,,,
,2025,: La ChimbaNumber of Match Courts: 8Number of,: cancha rayada n°10Website:Support Club / Venue: La ChimbaNumber of Match Courts: 8Number of,Copiapo - Chile,Copiapo - Chile,,,
,2025,Name,,Alhaurin de la Torre (Málaga) - Spain,Alhaurin de la Torre (Málaga) - Spain,,,
,2025,": CLUB LA CALZADA ( C. la Calzada, , La Calzada, Las Palmas)Number of Match Courts: 6 PISTAS CON JUEGO EXTERIOR + 1 PISTA CENTRALNumber of",,Gran Canaria - Spain,Gran Canaria - Spain,,,
,2025,Role,": Avenida João Meirelles, S/NWebsite: www.vilamoura.tennisNumber of match court: 11",Vilamoura - Portugal,Vilamoura - Portugal,,,
,2025,,,Mansoura - Egypt,Mansoura - Egypt,,,
,2025,,,Campo Largo - Brazil,Campo Largo - Brazil,,,
,2025,,,Isla de la palma - Spain,Isla de la palma - Spain,,,
,2025,Role,,Belgrade - Serbia,Belgrade - Serbia,,,
,2025,,,Middelkerke - Belgium,Middelkerke - Belgium,,,
,2025,: CLUB DEPORTIVO SIERRA MORENANumber of Match Courts: 4 Club Principal 4 Club apoyoNumber of,: CTRA. DE LAS ERMITAS S/NURL Website: sportcordobalasalle.esSupport Club / Venue: CLUB DEPORTIVO SIERRA MORENANumber of Match Courts: 4 Club Principal 4 Club apoyoNumber of,Cordoba - Spain,Cordoba - Spain,,,
,2025,Name,,Westerbork - Netherlands,Westerbork - Netherlands,,,
,2025,Chico Padel -,udgfitp130613@gmail.com,GIULIANOVA (TE)-ITALY,GIULIANOVA (TE)-ITALY,,,
,2025,,,Porto Sant'Elpidio - Italy,Porto Sant'Elpidio - Italy,,,
,2025,,,CHICAGO - USA,CHICAGO - USA,,,
,2025,,,Madrid - Spain,Madrid - Spain,,,
,2025,Role,mario.rui.marques77@gmail.com,Oeiras - Portugal,Oeiras - Portugal,,,
,2025,,": Marsbyntie 10, 02270, Espoo, FinlandWebsite: escpadel.fiNumber of Match Courts: 6Number of",Espoo - Finland,Espoo - Finland,,,
,2025,CLUB DEL BOSQUE,RANCO 30 – VIÑA DEL MAR,Viña del Mar - Chile,Viña del Mar - Chile,,4.0,
,2025,PADELYOU,"C. Conde Orgaz, s/n, 37005 Salamanca Spain",Salamanca Spain,Salamanca - Spain,,3.0,
,2025,,,Paris - France,Paris - France,,,
,2025,,,Schuttrange - Luxembourg,Schuttrange - Luxembourg,,,
,2025,LIFEPADEL,"Tv. da Ribeira 629, 4810-235 Guimarães",Guimaraes - Portugal,Guimaraes - Portugal,,,
,2025,Role,achaves13@hotmail.com,Ceuta - Spain,Ceuta - Spain,,,
,2025,Role,+52 9991 2281 78,Aguascalientes - Mexico,Aguascalientes - Mexico,,,
,2025,Pala Padel Nola,Via Croce del Papa 12/14 Nola-Italy,Nola - Italy,Nola - Italy,,4.0,
,2025,Role,mario.rui.marques77@gmail.com,Vilamoura-Portugal,Vilamoura-Portugal,,,
,2025,Iconico Sports & Social Club,"Calle Economía 11-13, 41007 (Sevilla)",Sevilla - Spain,Sevilla - Spain,,3.0,Outdoor
,2025,SPORTING CLUB SASSUOLO,"VIA VANDELLI, 25 – 41049 SASSUOLO (MO) - ITALY",SASSUOLO,Sassuolo - Italy,,1.0,Outdoor
,2025,Hotel Name,"Av Infante Dom Henrique, nº 341, 1800-224, Lisboa",Lisboa - Portugal,Lisboa - Portugal,,,Outdoor
,2025,Name,,Porec-Croatia,Porec-Croatia,,,
,2025,,,Dusseldorf - Germany,Dusseldorf - Germany,,,
,2025,,,Almaty - Kazakhstan,Almaty - Kazakhstan,,,
,2025,Role,,Alicante - Spain,Alicante - Spain,,,
,2025,Name,,Torino - Italy,Torino - Italy,,,
,2025,Padel Tropical,"9, Bangrak, 69, Tambon Bo Put, Ko Samui District, Surat Thani 84320, Thailand",Samui - Thailand,Samui - Thailand,,,
,2025,Role,,Denmark - ESBJERG,Denmark - ESBJERG,,,
,2025,,,Costa Daurada Reus - Spain,Costa Daurada Reus - Spain,,,
,2025,,,Rotterdam - Netherlands,Rotterdam - Netherlands,,,
,2025,,,Costa Daurada Reus - Spain,Costa Daurada Reus - Spain,,,
,2025,Name,,Abidjan - Ivory Coast,Abidjan - Ivory Coast,,,
,2025,Hotel Name,ignaciomolina88@gmail.com,Santiago de chile - Chile,Santiago de chile - Chile,,,
,2025,Role,francescoguglielmino2001@gmail.com,FOGGIA - ITALY,FOGGIA - ITALY,,,
,2025,ALMEIRINN PADEL,"Zona Industrial de Almeirim Lote 27, Pavilhão 1 – 2080-221 Almeirim",Almeirim - Portugal,Almeirim - Portugal,,,
,2025,Role,,Bangalore - India,Bangalore - India,,,
,2025,Qurtuba Padel & Fitness,"6 Sakb Ave, Linbro Park, Johannesburg",Johannesburg - South Africa,Johannesburg - South Africa,,5.0,
,2025,ALLIANZ CLOUD MILANO,"Piazza Carlo Stuparich 1, Milano",Milano - Italy,Milano - Italy,,,Indoor
,2025,,,Valencia - Spain,Valencia - Spain,,,
,2025,,,Valencia - Spain,Valencia - Spain,,,
,2025,Name,,Stratford - Great Britain,Stratford - Great Britain,,,
,2025,Centro de Pádel Ciudad Autónoma de Melilla,"C. Ayul Lalchandani, 52004 Melilla",Melilla,Melilla - Spain,,2.0,Outdoor
,2025,: PIANETA PADEL PIACENZA,,Piacenza - Italy,Piacenza - Italy,,,
,2025,Stratford Padel Club,"335-337 High Street, E15 2TF London",Stratford - Great Britain,Stratford - Great Britain,,,Indoor
,2025,Padel India at Kotak Pullela Gopichand Badminton Academy,"Survey No.91, beside Infosys, Gachibowli, Hyderabad 500032",Hyderabad - India,Hyderabad - India,,,Outdoor
,2025,,,Porec-Parenzo - Croatia,Porec-Parenzo - Croatia,,,
,2025,,,Austin - United States,Austin - United States,,,
,2025,Role,,Leon - Spain,Leon - Spain,,,
,2025,WPA Bahrain,"Buidling 1012 , Road 2813 Block 0428 Al Seef, Kingdom of Bahrain",Al Seef,Manama - Bahrain,,5.0,Indoor
,2025,jean jaures LyonSupport Club / Venue: all IN COUNTRY ACADEMYCourt conditions: IndoorOutside game: YesPayment method: Bank TransferContact e-mail: s.bouchet@opendelyon.fr,,Lyon - France,Lyon - France,,,
,2025,Website: https://www.matchi.se/facilities/e4arena,": Industridatan 7, 553 02, Jönköping Sweden Venue: E4 ArenaNumber of Match Courts: 5Number of",Jönköping - Sweden,Jönköping - Sweden,,1.0,Indoor
,2025,D’Ouro Padel,"Rua Bartolomeu Velho, 680. 4150-415, Porto",Oporto - Portugal,Oporto - Portugal,,2.0,Indoor
,2025,: noneNumber of Match Courts: 5Number of,": Okolovrusten put 72, Sofia, Bulgaria, 1415Support Club / Venue: noneNumber of Match Courts: 5Number of",Sofia - Bulgaria,Sofia - Bulgaria,,,
,2025,,,Saint-Denis de La Réunion France,Saint-Denis de La Réunion France,,,
,2025,,,DOHA - QATAR,DOHA - QATAR,,,
,2025,PREMIUM APA CENTER,"Las Magnolias 533, Km 50 Ramal Pilar",Buenos Aires - Argentina,Buenos Aires - Argentina,,4.0,Indoor
,2025,Lisboa Racket Centre,"Rua Alferes Malheiro, 1700-025, Lisboa",Lisbona - Portugal,Lisbona - Portugal,,11.0,
,2025,,,"La Línea de la Concepción, Cádiz","La Línea de la Concepción, Cádiz",,,
,2025,Sports Club,ahmed_nader_87@hotmail.com,Giza-Egypt,Giza-Egypt,,1.0,Outdoor
,2025,: 25kmAirport pick up: YESDaily ho – club service: YESContact / Nº: + 07 16 12 63 (Thibault) € discount on return flights when booking via our partner,"81 avenue de Bourbon, Saint Paul, LA REUNION",Saint Paul - Reunion Island,Saint Paul - Reunion Island,,3.0,Outdoor
,2025,Ali Bey Club Manavgat,"Ali Bey Club Manavgat, Kızılağaç Turizm Merkezi, 07600 Manavgat / Antalya, Turkiye",Antalya - Turkey,Antalya - Turkey,,,Outdoor
,2025,CLUB DE TENIS JUAN CARLOS FERRERO DE VILLENA,,Villena - Spain,Villena - Spain,,,
,2025,": 2,2 kmContact Details: Special rates: single room 72,00 bbSpecial rates: double room € 94,00 in B/B Additional info: link / discount code https://www.terraumbra.it/ / FIP HAPPY VILLAGEName: HO MICHELANGELONumber of Stars: 4",STRADA DI MARATTA BASSA 93,Terni - Italy,Terni - Italy,,2.0,Indoor
,2025,Rocks Lane Chiswick,"Distance to VenueRoom20 Windmill Road, Chiswick, W4 1SDPlayer ServicesTournament contactsRoleNamePhoneEmailTournament DirectorMohi Khosilova 0208 994 1313",London - United Kingdom,London - United Kingdom,,,
,2025,Padelcentrum Noord Limburg,sylviavangeest@hotmail.com,Venray - Netherlands,Venray - Netherlands,,1.0,Indoor
,2025,,,Paredes - Portugal,Paredes - Portugal,,,
,2025,,,Giza - Egypt,Giza - Egypt,,,
,2025,ISD Padel,Dubai Sports City - Dubai - Emiratos Árabes Unidos,Dubai - UAE,Dubai - UAE,,6.0,Indoor
,2025,Name,,Perugia - Italy,Perugia - Italy,,,
,2025,,,San diego - United States,San diego - United States,,,
,2025,,,Vic - Spain,Vic - Spain,,,
,2025,FULLPADEL OUTDOOR,"LATERAL NORTE, RUTA 7, km 1003- san Martín- Mendoza",Mendoza - Argentina,Mendoza - Argentina,,6.0,Outdoor
,2025,Hotel Name,"Elosalamantie 2, 02100 Espoo",Espoo,Espoo / Finland,,,Indoor
